Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 0
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 100
Simulation 1
0	6971
1000	7117
2000	7084
3000	7060
4000	7083
5000	7014
6000	7041
7000	6936
8000	6896
9000	6955
10000	7066
11000	6538
12000	5775
13000	5120
14000	4648
15000	4580
16000	4146
17000	3224
18000	3000
19000	2735
20000	2487
21000	2712
22000	2760
Numero di step eseguiti = 22374
Simulation 2
0	6972
1000	7119
2000	7082
3000	7070
4000	7037
5000	7035
6000	7016
7000	7027
8000	6981
9000	6978
10000	7000
11000	6918
12000	6554
13000	6245
14000	5605
15000	4668
16000	3935
17000	3812
18000	3581
19000	3194
20000	3025
21000	5568
Numero di step eseguiti = 21327
Simulation 3
0	6981
1000	7106
2000	7078
3000	6996
4000	6945
5000	7038
6000	7034
7000	6952
8000	6906
9000	6448
10000	5889
11000	5817
12000	5508
13000	5402
14000	4376
15000	3923
16000	3488
17000	3256
18000	2901
19000	2862
20000	4801
Numero di step eseguiti = 20956
Simulation 4
0	6983
1000	7118
2000	7068
3000	7008
4000	6987
5000	6964
6000	6921
7000	6924
8000	6737
9000	6589
10000	6065
11000	5666
12000	4897
13000	4697
14000	4096
15000	3902
16000	3537
17000	3276
18000	2951
19000	3243
20000	3054
21000	6936
Numero di step eseguiti = 21019
Simulation 5
0	6998
1000	7132
2000	7098
3000	7076
4000	7018
5000	7053
6000	6993
7000	6908
8000	6724
9000	6196
10000	5109
11000	4550
12000	4075
13000	4024
14000	3761
15000	3341
16000	4499
Numero di step eseguiti = 16540
Simulation 6
0	7009
1000	7137
2000	7106
3000	7079
4000	7038
5000	7017
6000	7060
7000	7073
8000	7083
9000	7065
10000	6898
11000	6435
12000	5800
13000	5652
14000	5469
15000	5336
16000	5025
17000	4530
18000	4232
19000	3649
20000	3466
21000	3198
22000	3264
23000	3417
24000	4484
25000	5057
Numero di step eseguiti = 25621
Simulation 7
0	6965
1000	7117
2000	7079
3000	7043
4000	7033
5000	6993
6000	6966
7000	6940
8000	6928
9000	6948
10000	7001
11000	6819
12000	6623
13000	6271
14000	5775
15000	4597
16000	3827
17000	3333
18000	3101
19000	3077
20000	3271
21000	3148
22000	2846
23000	4690
24000	5606
25000	3488
26000	6167
Numero di step eseguiti = 26397
Simulation 8
0	6999
1000	7124
2000	7106
3000	7044
4000	7053
5000	6951
6000	7058
7000	7013
8000	6842
9000	6796
10000	6852
11000	6718
12000	6712
13000	6168
14000	4921
15000	4200
16000	3799
17000	3957
18000	3329
19000	3037
20000	2841
21000	2816
22000	2606
23000	2561
24000	2407
25000	2736
Numero di step eseguiti = 25899
Simulation 9
0	6976
1000	7115
2000	7094
3000	7063
4000	7038
5000	7017
6000	6873
7000	6927
8000	7025
9000	6937
10000	6632
11000	6057
12000	5248
13000	5182
14000	5113
15000	4181
16000	3403
17000	3066
18000	3052
19000	3032
20000	4690
21000	7112
Numero di step eseguiti = 21082
Simulation 10
0	6978
1000	7120
2000	7083
3000	7008
4000	6962
5000	7031
6000	6989
7000	6826
8000	6421
9000	6213
10000	5617
11000	4882
12000	4666
13000	3785
14000	3796
15000	3381
16000	3240
17000	3171
18000	2965
19000	3339
20000	2649
21000	2346
22000	2643
23000	3931
Numero di step eseguiti = 23522
Simulation 11
0	7001
1000	7122
2000	7113
3000	7069
4000	7057
5000	6987
6000	6986
7000	6944
8000	6866
9000	6901
10000	6694
11000	6231
12000	5854
13000	5474
14000	4888
15000	4381
16000	3884
17000	3386
18000	4719
19000	3771
20000	4581
21000	7179
Numero di step eseguiti = 21657
Simulation 12
0	6989
1000	7108
2000	7095
3000	7076
4000	7072
5000	7056
6000	7000
7000	7040
8000	6906
9000	6981
10000	6689
11000	6607
12000	6393
13000	5719
14000	5066
15000	4555
16000	4032
17000	3649
18000	3211
19000	3064
20000	2771
21000	2656
22000	2703
23000	2596
24000	5344
25000	4640
Numero di step eseguiti = 25146
Simulation 13
0	6957
1000	7120
2000	7082
3000	7067
4000	7023
5000	7005
6000	6962
7000	6955
8000	6908
9000	6355
10000	5995
11000	5736
12000	5243
13000	4263
14000	3743
15000	3499
16000	3541
17000	3016
18000	2947
19000	2785
20000	2939
21000	3175
