Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
0	7158
1000	7192
2000	7191
3000	7185
4000	7180
5000	7182
6000	7180
7000	7165
8000	7176
9000	7154
10000	7165
11000	7170
12000	7160
13000	7166
14000	7097
15000	7110
16000	7130
17000	7130
18000	7071
19000	7057
20000	7044
21000	6984
22000	6660
23000	6133
24000	6019
25000	7186
26000	7196
27000	5320
28000	4937
29000	5460
30000	3566
31000	3343
32000	5062
Numero di step eseguiti = 32298
Simulation 2
0	7150
1000	7190
2000	7189
3000	7189
4000	7187
5000	7184
6000	7184
7000	7176
8000	7172
9000	7176
10000	7177
11000	7171
12000	7165
13000	7165
14000	7156
15000	7157
16000	7171
17000	7145
18000	7154
19000	7130
20000	7137
21000	7114
22000	7002
23000	6888
24000	6589
25000	6394
26000	5839
27000	5499
28000	4935
29000	5022
30000	4635
31000	4624
32000	3805
33000	3907
34000	3601
35000	3600
36000	3489
37000	3322
38000	2935
39000	2682
40000	2585
41000	3932
Numero di step eseguiti = 41894
Simulation 3
0	7159
1000	7192
2000	7189
3000	7180
4000	7177
5000	7178
6000	7180
7000	7186
8000	7180
9000	7172
10000	7170
11000	7174
12000	7180
13000	7166
14000	7171
15000	7169
16000	7172
17000	7146
18000	6961
19000	7022
20000	7144
21000	7082
22000	6967
Numero di step eseguiti = 22789
Simulation 4
0	7163
1000	7191
2000	7182
3000	7186
4000	7168
5000	7165
6000	7163
7000	7157
8000	7147
9000	7157
10000	7153
11000	7162
12000	7151
13000	7161
14000	7156
15000	7150
16000	7143
17000	7159
18000	7053
19000	7025
20000	6651
21000	6981
22000	7192
23000	7189
24000	5739
25000	5718
26000	5182
27000	4799
28000	4233
29000	3909
30000	3744
31000	4663
32000	4909
Numero di step eseguiti = 32748
Simulation 5
0	7156
1000	7182
2000	7182
3000	7183
4000	7167
5000	7168
6000	7175
7000	7170
8000	7184
9000	7173
10000	7176
11000	7163
12000	7155
13000	7170
14000	7155
15000	7139
16000	7083
17000	7081
18000	7108
19000	7060
20000	7125
21000	7092
22000	6749
23000	7139
24000	6983
25000	6306
26000	5993
27000	5362
28000	4719
29000	4308
30000	4041
31000	3989
32000	3445
33000	3135
34000	2780
35000	3161
36000	2718
37000	2668
38000	2924
39000	2539
40000	2541
41000	2880
42000	4148
Numero di step eseguiti = 42660
Simulation 6
0	7156
1000	7191
2000	7190
3000	7187
4000	7189
5000	7185
6000	7185
7000	7173
8000	7173
9000	7178
10000	7174
11000	7164
12000	7162
13000	7153
14000	7136
15000	7141
16000	7141
17000	7156
18000	7138
19000	7175
20000	7162
21000	7043
22000	7020
23000	7120
24000	6269
25000	5985
26000	5746
27000	5399
28000	5134
29000	4718
30000	4559
31000	3914
32000	3853
33000	3408
34000	3212
35000	4510
Numero di step eseguiti = 35732
Simulation 7
0	7168
1000	7189
2000	7183
3000	7174
4000	7181
5000	7169
6000	7179
7000	7179
8000	7180
9000	7168
10000	7170
11000	7152
12000	7146
13000	7145
14000	7157
15000	7170
16000	7177
17000	7173
18000	7123
19000	7073
20000	7159
21000	6718
22000	6505
23000	6353
24000	6193
25000	6477
26000	5566
27000	5286
28000	5723
29000	5311
Numero di step eseguiti = 29892
Simulation 8
0	7152
1000	7192
2000	7188
3000	7176
4000	7171
5000	7165
6000	7164
7000	7151
8000	7151
9000	7154
10000	7146
11000	7134
12000	7153
13000	7111
14000	7136
15000	7153
16000	7177
17000	7145
18000	7141
19000	6995
20000	6803
21000	6179
22000	5918
23000	5477
24000	5470
25000	4820
26000	4428
27000	3810
28000	5105
29000	7199
30000	7199
31000	7198
Numero di step eseguiti = 31535
Simulation 9
0	7158
1000	7187
2000	7186
3000	7186
4000	7186
5000	7183
6000	7185
7000	7176
8000	7178
9000	7168
10000	7165
11000	7182
12000	7183
13000	7173
14000	7183
15000	7130
16000	7124
17000	7058
18000	7066
19000	6958
20000	6634
21000	6299
22000	5879
23000	5664
24000	5317
25000	5243
26000	4759
27000	5159
28000	4273
29000	4391
Numero di step eseguiti = 29319
Simulation 10
0	7154
1000	7187
2000	7179
3000	7171
4000	7174
5000	7179
6000	7176
7000	7175
8000	7173
9000	7179
10000	7160
11000	7156
12000	7166
13000	7156
14000	7158
15000	7119
16000	7135
17000	7155
18000	7168
19000	7184
20000	7163
21000	7135
22000	6808
23000	6783
24000	6528
25000	6335
26000	5587
27000	5236
28000	4807
29000	4946
30000	4814
31000	3440
32000	3152
33000	3154
34000	3250
35000	2912
36000	2557
37000	3466
38000	2937
39000	4170
Numero di step eseguiti = 39345
Simulation 11
0	7155
1000	7190
2000	7186
3000	7183
4000	7180
5000	7181
6000	7177
7000	7181
8000	7164
9000	7168
10000	7161
11000	7156
12000	7151
13000	7159
14000	7144
15000	7179
16000	7162
17000	7154
18000	7075
19000	7134
20000	7146
21000	7120
22000	6808
23000	6678
24000	6246
25000	6143
26000	7122
27000	5535
28000	4835
29000	4950
30000	4711
31000	3908
32000	3710
33000	3707
34000	6034
Numero di step eseguiti = 34249
Simulation 12
0	7161
1000	7186
2000	7187
3000	7181
4000	7175
5000	7173
6000	7178
7000	7177
8000	7166
9000	7178
10000	7173
11000	7168
12000	7171
13000	7174
14000	7173
15000	7186
16000	7176
17000	7164
18000	7159
19000	7100
20000	7108
21000	6915
22000	7149
23000	6914
24000	5976
25000	5542
26000	5387
27000	4916
28000	4503
29000	4386
30000	4208
31000	3863
32000	3650
33000	3481
34000	3365
35000	3259
36000	3031
37000	2650
38000	2590
39000	2609
40000	2993
41000	2425
42000	5051
43000	4049
Numero di step eseguiti = 43262
Simulation 13
0	7176
1000	7183
2000	7181
3000	7177
4000	7179
5000	7178
6000	7165
7000	7165
8000	7152
9000	7155
10000	7162
11000	7137
12000	7149
13000	7169
14000	7155
15000	7119
16000	7103
17000	7143
18000	7138
19000	7084
20000	7018
21000	7005
22000	6874
23000	7181
24000	6240
25000	5904
26000	5259
27000	5682
28000	4744
29000	4410
30000	4364
31000	4089
32000	4205
33000	3657
34000	3911
Numero di step eseguiti = 34530
Simulation 14
0	7150
Numero di step eseguiti = 145
Simulation 15
0	7159
1000	7196
2000	7192
3000	7185
4000	7180
5000	7179
6000	7168
7000	7178
8000	7175
9000	7161
10000	7169
11000	7155
12000	7149
13000	7157
14000	7155
15000	7091
16000	7147
17000	7136
18000	7124
19000	7151
20000	7138
21000	7137
22000	7066
23000	7026
24000	6849
25000	6322
26000	5872
27000	5219
28000	4662
29000	4358
30000	3964
31000	3664
32000	3290
33000	2841
34000	3080
35000	3733
36000	5444
Numero di step eseguiti = 36670
Simulation 16
0	7155
1000	7190
2000	7186
3000	7178
4000	7166
5000	7173
6000	7171
7000	7181
8000	7172
9000	7174
10000	7176
11000	7155
12000	7170
13000	7175
14000	7168
15000	7054
16000	7141
17000	6706
18000	6165
19000	6895
20000	6210
21000	5944
22000	6996
23000	6000
24000	7178
25000	7176
26000	7182
27000	7172
28000	6060
29000	3676
30000	5244
Numero di step eseguiti = 30916
Simulation 17
0	7149
1000	7190
2000	7189
3000	7181
4000	7175
5000	7181
6000	7170
7000	7163
8000	7171
9000	7164
10000	7122
11000	7173
12000	7176
13000	7178
14000	7166
15000	7146
16000	7138
17000	7122
18000	7161
19000	7153
20000	7096
21000	7069
22000	6936
23000	6892
24000	6918
25000	6211
26000	6141
27000	5656
28000	4977
29000	4807
30000	4099
31000	3818
32000	3307
33000	3249
34000	3598
35000	3128
36000	2682
37000	4404
38000	6109
Numero di step eseguiti = 38088
Simulation 18
0	7157
1000	7186
2000	7180
3000	7181
4000	7180
5000	7177
6000	7175
7000	7168
8000	7166
9000	7167
10000	7142
11000	7151
12000	7161
13000	7139
14000	7142
15000	7164
16000	7161
17000	7189
18000	7192
19000	7191
20000	7051
21000	7140
22000	6490
23000	5984
24000	5752
25000	5291
26000	5136
27000	5020
28000	4819
29000	4853
30000	4492
31000	4832
32000	5021
33000	4930
Numero di step eseguiti = 33292
Simulation 19
0	7161
1000	7187
2000	7186
3000	7191
4000	7182
5000	7170
6000	7169
7000	7166
8000	7151
9000	7167
10000	7167
11000	7165
12000	7143
13000	7129
14000	7102
15000	7016
16000	7126
17000	6849
18000	6401
19000	5961
20000	5560
21000	5182
22000	4880
23000	4096
24000	3782
25000	3354
26000	3537
27000	3056
28000	3056
29000	3048
30000	3040
31000	2991
32000	2918
33000	3089
Numero di step eseguiti = 33933
Simulation 20
0	7153
1000	7191
2000	7190
3000	7179
4000	7182
5000	7168
6000	7166
7000	7171
8000	7173
9000	7161
10000	7170
11000	7164
12000	7168
13000	7145
14000	7162
15000	7159
16000	7144
17000	7160
18000	7162
19000	7176
20000	7170
21000	7171
22000	7054
23000	6556
24000	6231
25000	5863
26000	5621
27000	7170
Numero di step eseguiti = 27504
Simulation 21
0	7152
1000	7191
2000	7179
3000	7172
4000	7170
5000	7163
6000	7157
7000	7169
8000	7181
9000	7174
10000	7170
11000	7166
12000	7157
13000	7129
14000	7138
15000	7140
16000	7173
17000	7130
18000	7163
19000	7151
20000	7039
21000	6782
22000	6023
23000	5903
24000	5768
25000	6700
26000	4686
27000	4146
28000	4540
29000	3690
30000	3569
31000	3576
32000	3756
33000	3206
34000	3009
35000	2857
36000	2836
37000	2794
38000	2976
39000	2657
40000	2489
41000	2398
42000	2459
43000	2645
Numero di step eseguiti = 43956
Simulation 22
0	7166
1000	7191
2000	7191
3000	7187
4000	7181
5000	7177
6000	7185
7000	7181
8000	7174
9000	7177
10000	7165
11000	7171
12000	7155
13000	7164
14000	7135
15000	7141
16000	7121
17000	7123
18000	7024
19000	6969
20000	7103
21000	6787
22000	6638
23000	6445
24000	5782
25000	5583
26000	5296
27000	4746
28000	4044
29000	4058
30000	3662
31000	3535
32000	3168
33000	2998
34000	2920
35000	2526
36000	2541
37000	2574
38000	2590
39000	2528
40000	2576
41000	2730
42000	2478
43000	2685
44000	2267
45000	2399
46000	2292
47000	2287
48000	2158
49000	2346
50000	4107
Numero di step eseguiti = 50487
Simulation 23
0	7155
1000	7189
2000	7195
3000	7184
4000	7179
5000	7168
6000	7173
7000	7183
8000	7169
9000	7151
10000	7164
11000	7160
12000	7168
13000	7139
14000	7172
15000	7181
16000	7153
17000	7178
18000	7173
19000	7197
20000	7130
21000	7168
22000	7137
23000	7127
24000	7098
25000	7015
26000	6900
27000	6711
28000	5638
29000	5214
30000	4967
31000	4915
32000	4019
33000	3909
34000	3923
35000	3912
36000	3509
37000	3236
38000	3065
39000	3613
40000	5865
Numero di step eseguiti = 40143
Simulation 24
0	7169
1000	7190
2000	7183
3000	7172
4000	7173
5000	7174
6000	7174
7000	7154
8000	7156
9000	7165
10000	7155
11000	7145
12000	7140
13000	7146
14000	7167
15000	7156
16000	7148
17000	7137
18000	7104
19000	6948
20000	6973
21000	6885
22000	6287
23000	6114
24000	5888
25000	5707
26000	6425
27000	7199
28000	7198
29000	7198
Numero di step eseguiti = 29075
Simulation 25
0	7149
1000	7187
2000	7189
3000	7185
4000	7178
5000	7178
6000	7173
7000	7169
8000	7170
9000	7166
10000	7169
11000	7146
12000	7151
13000	7152
14000	7136
15000	7151
16000	7160
17000	7159
18000	7141
19000	7137
20000	7129
21000	7144
22000	7122
23000	6954
24000	6494
25000	6362
26000	6286
27000	5622
28000	5229
29000	4859
30000	4014
31000	3731
32000	3677
33000	3223
34000	3237
35000	2978
36000	2997
37000	2735
38000	2884
39000	2637
40000	2621
41000	2539
42000	2381
43000	2667
44000	2934
45000	2551
46000	1985
47000	2468
Numero di step eseguiti = 47588
Simulation 26
0	7158
1000	7190
2000	7184
3000	7181
4000	7174
5000	7178
6000	7175
7000	7174
8000	7181
9000	7163
10000	7177
11000	7177
12000	7164
13000	7173
14000	7170
15000	7159
16000	7173
17000	7189
18000	7107
19000	7155
20000	7180
21000	7077
22000	7130
23000	6722
24000	6218
25000	5923
26000	5934
27000	7195
28000	6505
29000	6475
30000	4859
31000	4396
32000	4288
33000	3938
34000	3899
35000	6560
Numero di step eseguiti = 35762
Simulation 27
0	7164
1000	7192
2000	7193
3000	7181
4000	7176
5000	7172
6000	7173
7000	7181
8000	7156
9000	7175
10000	7176
11000	7174
12000	7162
13000	7157
14000	7157
15000	7167
16000	7127
17000	7146
18000	7057
19000	7056
20000	7152
21000	7129
22000	7056
23000	7060
24000	6676
25000	6337
26000	5551
27000	4852
28000	4652
29000	4486
30000	5340
31000	5316
32000	5045
Numero di step eseguiti = 32261
Simulation 28
0	7174
1000	7190
2000	7192
3000	7186
4000	7185
5000	7179
6000	7174
7000	7173
8000	7149
9000	7170
10000	7154
11000	7171
12000	7171
13000	7175
14000	7146
15000	7118
16000	7175
17000	7172
18000	7132
19000	7165
20000	7197
21000	6894
22000	6820
23000	6750
24000	6614
25000	6075
26000	5444
27000	4935
28000	4740
29000	5810
30000	7187
31000	7198
Numero di step eseguiti = 31497
Simulation 29
0	7166
Numero di step eseguiti = 226
Simulation 30
0	7161
Numero di step eseguiti = 503
Simulation 31
0	7159
1000	7186
2000	7191
3000	7183
4000	7177
5000	7172
6000	7161
7000	7159
8000	7148
9000	7161
10000	7150
11000	7163
12000	7152
13000	7155
14000	7138
15000	7135
16000	7061
17000	7155
18000	7138
19000	7171
20000	6816
21000	6551
22000	6416
23000	6656
24000	7008
25000	6072
26000	5633
27000	5351
28000	5048
29000	4327
30000	3682
31000	3580
32000	3403
33000	3490
34000	3342
35000	3042
36000	3229
37000	2846
38000	5737
Numero di step eseguiti = 38325
Simulation 32
0	7145
1000	7190
2000	7187
3000	7192
4000	7172
5000	7172
6000	7170
7000	7177
8000	7165
9000	7168
10000	7170
11000	7160
12000	7140
13000	7146
14000	7159
15000	7173
16000	7126
17000	7164
18000	7185
19000	7125
20000	7155
21000	7083
22000	7112
23000	6940
24000	6986
25000	7111
26000	6490
27000	5694
28000	5562
29000	5174
30000	4513
31000	4423
32000	4313
33000	3676
34000	3516
35000	3258
36000	3430
37000	3131
38000	2623
39000	2970
40000	2751
41000	2865
42000	2432
43000	2379
44000	2500
45000	3480
Numero di step eseguiti = 45126
Simulation 33
0	7166
1000	7192
2000	7187
3000	7188
4000	7179
5000	7180
6000	7175
7000	7181
8000	7172
9000	7174
10000	7154
11000	7167
12000	7175
13000	7164
14000	7174
15000	7167
16000	7158
17000	7105
18000	7102
19000	7159
20000	6933
21000	6894
22000	6617
23000	6424
24000	5780
25000	5554
26000	5951
Numero di step eseguiti = 26349
Simulation 34
0	7149
1000	7191
2000	7185
3000	7179
4000	7172
5000	7181
6000	7176
7000	7171
8000	7173
9000	7169
10000	7155
11000	7150
12000	7162
13000	7164
14000	7149
15000	7162
16000	7150
17000	7115
18000	6992
19000	6964
20000	6572
21000	6366
22000	6111
23000	5744
24000	5478
25000	5069
26000	4962
27000	4618
28000	4306
29000	3966
30000	3904
31000	3685
32000	3555
33000	3489
34000	3583
35000	7064
Numero di step eseguiti = 35255
Simulation 35
0	7161
1000	7190
2000	7188
3000	7185
4000	7179
5000	7177
6000	7169
7000	7165
8000	7154
9000	7155
10000	7155
11000	7146
12000	7155
13000	7148
14000	7161
15000	7172
16000	7164
17000	7004
18000	7032
19000	6787
20000	6832
21000	5879
22000	5309
23000	5083
24000	5003
25000	4510
26000	4224
27000	3900
28000	3695
29000	6810
Numero di step eseguiti = 29247
Simulation 36
0	7147
1000	7191
2000	7182
3000	7186
4000	7183
5000	7171
6000	7164
7000	7160
8000	7132
