Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 2.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
0	7158
1000	7189
2000	7187
3000	7186
4000	7178
5000	7187
6000	7181
7000	7173
8000	7189
9000	7182
10000	7176
11000	7166
12000	7182
13000	7158
14000	7126
15000	7152
16000	7088
17000	7093
18000	7153
19000	7071
20000	7157
21000	7173
22000	7184
23000	6697
24000	6408
25000	6050
26000	5601
27000	4987
28000	4636
29000	5553
30000	7151
31000	7194
32000	5022
33000	3939
34000	7192
Numero di step eseguiti = 34055
Simulation 2
0	7157
1000	7191
2000	7186
3000	7177
4000	7168
5000	7165
6000	7167
7000	7180
8000	7176
9000	7180
10000	7131
11000	7154
12000	7168
13000	7119
14000	7126
15000	7049
16000	7147
17000	6929
18000	6879
19000	6759
20000	6384
21000	6123
22000	6030
23000	5657
24000	5604
25000	5669
26000	5767
27000	7054
28000	4746
29000	3509
30000	3670
31000	3005
32000	2996
33000	6710
Numero di step eseguiti = 33042
Simulation 3
0	7162
1000	7191
2000	7187
3000	7190
4000	7187
5000	7176
6000	7148
7000	7168
8000	7169
9000	7171
10000	7165
11000	7145
12000	7164
13000	7184
14000	7068
15000	7172
16000	7073
17000	6999
18000	6871
19000	6540
20000	6404
21000	5970
22000	5585
23000	4918
24000	4379
25000	5177
26000	3921
Numero di step eseguiti = 26525
Simulation 4
0	7157
1000	7193
2000	7187
3000	7189
4000	7192
5000	7178
6000	7187
7000	7186
8000	7159
9000	7179
10000	7183
11000	7165
12000	7158
13000	7160
14000	7076
15000	6990
16000	7134
17000	7007
18000	7000
19000	6551
20000	6580
21000	6134
22000	5892
23000	5231
24000	4935
25000	4495
26000	4211
27000	4047
28000	3812
29000	3656
30000	3599
31000	3025
32000	2685
33000	3219
34000	3035
35000	3824
36000	3886
37000	2712
38000	2656
39000	2578
40000	2618
41000	5833
Numero di step eseguiti = 41136
Simulation 5
0	7145
1000	7193
2000	7186
3000	7171
4000	7172
5000	7176
6000	7170
7000	7171
8000	7166
9000	7147
10000	7166
11000	7167
12000	7169
13000	7140
14000	7155
15000	7164
16000	6922
17000	6901
18000	6714
19000	6541
20000	5912
21000	5520
22000	5592
23000	6396
24000	5445
25000	7199
Numero di step eseguiti = 25043
Simulation 6
0	7151
1000	7192
2000	7190
3000	7187
4000	7183
5000	7183
6000	7181
7000	7170
8000	7167
9000	7177
10000	7161
11000	7157
12000	7168
13000	7148
14000	7133
15000	7003
16000	7010
17000	7171
18000	6794
19000	6216
20000	5949
21000	5533
22000	4870
23000	4629
24000	4463
25000	3655
26000	3631
27000	3495
28000	3521
29000	3166
30000	2913
31000	2836
32000	2696
33000	2866
34000	3090
35000	3408
36000	2704
Numero di step eseguiti = 36722
Simulation 7
0	7163
1000	7192
2000	7189
3000	7187
4000	7190
5000	7192
6000	7187
7000	7179
8000	7172
9000	7174
10000	7182
11000	7178
12000	7189
13000	7160
14000	7140
15000	7155
16000	7134
17000	7176
18000	7147
19000	7155
20000	6815
21000	6159
22000	5558
23000	5264
24000	4344
25000	4215
26000	4068
27000	3943
28000	3718
29000	3376
30000	4703
Numero di step eseguiti = 30741
Simulation 8
0	7158
1000	7193
2000	7187
3000	7189
4000	7184
5000	7182
6000	7187
7000	7185
8000	7184
9000	7182
10000	7161
11000	7141
12000	7154
13000	7178
14000	7179
15000	7161
16000	7180
17000	7113
18000	7141
19000	7147
20000	7145
21000	6559
22000	6531
23000	5601
24000	4904
25000	4419
26000	4146
27000	4000
28000	3719
29000	3574
30000	3367
31000	3144
32000	2910
33000	2939
34000	2958
35000	2906
36000	5956
Numero di step eseguiti = 36092
Simulation 9
0	7147
1000	7189
2000	7186
3000	7184
4000	7181
5000	7183
6000	7181
7000	7172
8000	7169
9000	7175
10000	7159
11000	7159
12000	7171
13000	7168
14000	7103
15000	7122
16000	7062
17000	7087
18000	6951
19000	7063
20000	6853
21000	6911
22000	6091
23000	5297
24000	4561
25000	4422
26000	3979
27000	4043
28000	3725
29000	3573
30000	4444
31000	3435
Numero di step eseguiti = 31838
Simulation 10
0	7158
1000	7190
2000	7187
3000	7191
4000	7187
5000	7178
6000	7180
7000	7170
8000	7178
9000	7166
10000	7175
